"chain","co_owned","date","hrsopen","observation","open","sheet","status","emptot","time","treated"
"kfc","no",NA,12.5,"February 1992",10.5,319,NA,8.5,0,1
"roys","yes",NA,16,"February 1992",6,322,NA,18.5,0,1
"roys","yes",NA,15,"February 1992",6,325,NA,15.5,0,1
"bk","no",NA,15,"February 1992",7,333,NA,14.25,0,1
"bk","no",NA,15,"February 1992",7,336,NA,38,0,1
"bk","yes",NA,17,"February 1992",7,337,NA,24.75,0,1
"bk","yes",NA,16,"February 1992",7,339,NA,23,0,1
"bk","no",NA,14.5,"February 1992",7.5,340,NA,24,0,1
"kfc","yes",NA,9.5,"February 1992",11,341,NA,7.5,0,1
"kfc","yes",NA,10.5,"February 1992",11,343,NA,15,0,1
"kfc","yes",NA,10,"February 1992",11,346,NA,9.25,0,1
"roys","yes",NA,10.5,"February 1992",10.5,348,NA,11.25,0,1
"roys","yes",NA,16,"February 1992",6,350,NA,16.5,0,1
"roys","yes",NA,16,"February 1992",6,351,NA,18.75,0,1
"roys","yes",NA,11.5,"February 1992",10,352,NA,13.5,0,1
"roys","yes",NA,16,"February 1992",6,353,NA,21.75,0,1
"wendys","no",NA,11.5,"February 1992",10.5,355,NA,13.5,0,1
"bk","yes",NA,15,"February 1992",7,359,NA,15,0,1
"bk","no",NA,15,"February 1992",7,360,NA,17.5,0,1
"bk","no",NA,16,"February 1992",7,361,NA,17.5,0,1
"kfc","no",NA,12.5,"February 1992",10.5,362,NA,NA,0,1
"kfc","no",NA,12.5,"February 1992",10.5,363,NA,15.5,0,1
"kfc","no",NA,12,"February 1992",11,364,NA,16.5,0,1
"roys","no",NA,11.5,"February 1992",10.5,366,NA,13.5,0,1
"wendys","no",NA,12.5,"February 1992",10.5,368,NA,13,0,1
"bk","yes",NA,15,"February 1992",7,369,NA,11.5,0,1
"bk","no",NA,16,"February 1992",7,370,NA,29.05,0,1
"bk","no",NA,14,"February 1992",8,376,NA,13,0,1
"bk","no",NA,14,"February 1992",8,377,NA,18,0,1
"bk","no",NA,16,"February 1992",7,379,NA,30,0,1
"bk","no",NA,16,"February 1992",7,380,NA,20.5,0,1
"bk","no",NA,16,"February 1992",7,383,NA,10,0,1
"bk","no",NA,16,"February 1992",7,384,NA,NA,0,1
"bk","no",NA,17,"February 1992",7,385,NA,26,0,1
"bk","no",NA,17,"February 1992",7,386,NA,12.5,0,1
"kfc","no",NA,10,"February 1992",11,391,NA,19.5,0,1
"kfc","yes",NA,11,"February 1992",11,393,NA,12,0,1
"roys","yes",NA,17,"February 1992",6,396,NA,36,0,1
"roys","yes",NA,17,"February 1992",6,397,NA,21,0,1
"roys","yes",NA,17,"February 1992",6,398,NA,24.5,0,1
"roys","yes",NA,17,"February 1992",6,399,NA,20,0,1
"roys","yes",NA,17,"February 1992",6,400,NA,26.5,0,1
"roys","no",NA,16,"February 1992",7,401,NA,15,0,1
"roys","yes",NA,16,"February 1992",6,402,NA,19,0,1
"roys","yes",NA,17,"February 1992",6,405,NA,17.5,0,1
"bk","no",NA,16,"February 1992",7,410,NA,20.5,0,1
"bk","no",NA,16,"February 1992",7,411,NA,21,0,1
"kfc","no",NA,11,"February 1992",11,412,NA,10.5,0,1
"bk","no",NA,17,"February 1992",6,413,NA,23,0,1
"bk","no",NA,16,"February 1992",7,414,NA,23,0,1
"bk","no",NA,16,"February 1992",7,415,NA,29,0,1
"bk","yes",NA,16,"February 1992",7,417,NA,21,0,1
"bk","no",NA,15,"February 1992",8,418,NA,41.5,0,1
"kfc","yes",NA,11,"February 1992",11,419,NA,12,0,1
"kfc","yes",NA,13,"February 1992",10.5,421,NA,33,0,1
"kfc","no",NA,11,"February 1992",10,422,NA,6.5,0,1
"kfc","yes",NA,12,"February 1992",11,423,NA,9,0,1
"kfc","yes",NA,11,"February 1992",11,424,NA,9.75,0,1
"roys","yes",NA,19,"February 1992",5,426,NA,24.5,0,1
"wendys","no",NA,12.5,"February 1992",10.5,427,NA,14,0,1
"wendys","no",NA,12.5,"February 1992",10.5,428,NA,19.5,0,1
"bk","no",1992-11-17,16.5,"November 1992",6.5,46,"answered 2nd interview",24,1,0
"kfc","no",1992-11-12,13,"November 1992",10,49,"answered 2nd interview",11.5,1,0
"kfc","yes",1992-11-12,11,"November 1992",11,506,"answered 2nd interview",10.5,1,0
"wendys","yes",1992-11-14,12,"November 1992",10,56,"answered 2nd interview",20,1,0
"wendys","yes",1992-11-14,12,"November 1992",10,61,"answered 2nd interview",35.5,1,0
"wendys","yes",1992-11-14,12,"November 1992",10,62,"answered 2nd interview",NA,1,0
"bk","no",1992-11-07,18,"November 1992",6,445,"answered 2nd interview",29,1,0
"bk","no",1992-11-17,24,"November 1992",0,451,"answered 2nd interview",36.5,1,0
"kfc","yes",1992-11-12,11,"November 1992",11,455,"answered 2nd interview",11,1,0
"kfc","yes",1992-11-17,10.5,"November 1992",11,458,"answered 2nd interview",8.5,1,0
"roys","yes",1992-12-22,12,"November 1992",9,462,"answered 2nd interview",17.5,1,0
"bk","no",1992-11-07,18,"November 1992",6,468,"answered 2nd interview",29,1,0
"bk","no",1992-11-16,18,"November 1992",6,469,"answered 2nd interview",30.5,1,0
"bk","no",1992-11-17,18,"November 1992",6,470,"answered 2nd interview",26,1,0
"bk","no",1992-12-22,13,"November 1992",8.5,474,"answered 2nd interview",18,1,0
"kfc","yes",1992-11-17,11,"November 1992",11,481,"answered 2nd interview",20,1,0
"kfc","yes",1992-11-12,11,"November 1992",11,483,"answered 2nd interview",13.5,1,0
"roys","yes",1992-11-11,11,"November 1992",10.5,487,"answered 2nd interview",19,1,0
"roys","no",1992-11-11,15,"November 1992",7,488,"answered 2nd interview",15.5,1,0
"roys","no",1992-11-18,11.5,"November 1992",10,489,"answered 2nd interview",14.5,1,0
"roys","yes",1992-11-16,16,"November 1992",6,490,"answered 2nd interview",14,1,0
"roys","yes",1992-11-11,16,"November 1992",6,493,"answered 2nd interview",19,1,0
"roys","no",1992-11-11,16,"November 1992",6,495,"answered 2nd interview",21,1,0
"roys","yes",1992-11-11,16,"November 1992",6,496,"answered 2nd interview",18,1,0
"wendys","yes",1992-11-14,12,"November 1992",10,499,"answered 2nd interview",20.5,1,0
"roys","yes",1992-11-11,15.5,"November 1992",6.5,509,"answered 2nd interview",13.5,1,0
"roys","yes",1992-11-11,16,"November 1992",6,515,"answered 2nd interview",17.5,1,0
"bk","no",1992-11-10,16.5,"November 1992",6.5,37,"answered 2nd interview",25.5,1,0
"bk","no",1992-11-17,16.5,"November 1992",6.5,39,"answered 2nd interview",15.5,1,0
"bk","no",1992-11-10,17.5,"November 1992",6.5,40,"answered 2nd interview",25.5,1,0
"bk","no",1992-11-18,17.5,"November 1992",6.5,41,"answered 2nd interview",27,1,0
"bk","no",1992-11-17,16.5,"November 1992",6.5,42,"answered 2nd interview",16,1,0
"bk","no",1992-11-10,17.5,"November 1992",6.5,45,"answered 2nd interview",19,1,0
"bk","no",1992-11-10,18,"November 1992",6,47,"answered 2nd interview",24.5,1,0
"bk","no",1992-11-10,14,"November 1992",7,48,"answered 2nd interview",25,1,0
"kfc","no",1992-11-12,13,"November 1992",10,50,"answered 2nd interview",17,1,0
"kfc","no",1992-11-17,13,"November 1992",10,51,"answered 2nd interview",16.5,1,0
"wendys","yes",1992-11-14,12,"November 1992",10,57,"answered 2nd interview",20,1,0
"wendys","yes",1992-11-14,12,"November 1992",10,58,"answered 2nd interview",18,1,0
"wendys","no",1992-11-14,10.5,"November 1992",7.5,59,"answered 2nd interview",12,1,0
"wendys","no",1992-11-17,12,"November 1992",10,60,"answered 2nd interview",25,1,0
"kfc","yes",1992-11-14,11,"November 1992",11,407,"answered 2nd interview",11,1,0
"bk","no",1992-11-07,16,"November 1992",7,430,"answered 2nd interview",27,1,0
"bk","no",1992-11-07,16,"November 1992",7,432,"answered 2nd interview",34,1,0
"bk","no",1992-12-30,16,"November 1992",7,433,"answered 2nd interview",25,1,0
"bk","no",1992-11-16,16,"November 1992",7,434,"answered 2nd interview",37.5,1,0
"bk","no",1992-11-07,15.5,"November 1992",6.5,435,"answered 2nd interview",21,1,0
"kfc","no",1992-11-12,9,"November 1992",11,438,"answered 2nd interview",9.5,1,0
"wendys","no",1992-11-13,11.5,"November 1992",10.5,440,"answered 2nd interview",18,1,0
"wendys","no",1992-11-13,11.5,"November 1992",10.5,441,"answered 2nd interview",18,1,0
"wendys","no",1992-11-13,11.5,"November 1992",10.5,443,"answered 2nd interview",19,1,0
"wendys","no",1992-11-13,11.5,"November 1992",10.5,444,"answered 2nd interview",31.5,1,0
"bk","no",1992-11-07,18,"November 1992",6,446,"answered 2nd interview",23,1,0
"bk","no",1992-11-18,18,"November 1992",6,448,"answered 2nd interview",24.5,1,0
"bk","no",1992-11-07,18,"November 1992",6,449,"answered 2nd interview",27.5,1,0
"bk","no",1992-11-18,18,"November 1992",6,450,"answered 2nd interview",34.5,1,0
"kfc","yes",1992-11-12,11,"November 1992",11,454,"answered 2nd interview",14,1,0
"roys","yes",1992-12-22,15,"November 1992",7,459,"answered 2nd interview",15,1,0
"wendys","no",1992-11-18,11.5,"November 1992",10.5,466,"answered 2nd interview",23,1,0
"bk","no",1992-11-16,18,"November 1992",6,471,"answered 2nd interview",26.5,1,0
"bk","no",1992-11-07,17,"November 1992",6,472,"answered 2nd interview",23.5,1,0
"bk","no",1992-11-17,17,"November 1992",6,473,"answered 2nd interview",35.5,1,0
"bk","no",1992-11-07,15,"November 1992",7,475,"answered 2nd interview",21,1,0
"bk","no",1992-11-17,18,"November 1992",6,476,"answered 2nd interview",23,1,0
"bk","no",1992-11-07,17,"November 1992",6,477,"answered 2nd interview",20,1,0
"bk","no",1992-12-22,18,"November 1992",6,478,"answered 2nd interview",27,1,0
"kfc","yes",1992-11-12,11,"November 1992",11,485,"answered 2nd interview",13,1,0
"roys","no",1992-12-30,NA,"November 1992",NA,491,"closed permanently",0,1,0
"roys","yes",1992-11-11,12.5,"November 1992",9,492,"answered 2nd interview",13.5,1,0
"wendys","yes",1992-11-13,12,"November 1992",10,497,"answered 2nd interview",NA,1,0
"wendys","yes",1992-11-17,12,"November 1992",10,498,"answered 2nd interview",26.75,1,0
"bk","no",1992-11-17,18,"November 1992",6,501,"answered 2nd interview",43.5,1,0
"bk","no",1992-11-07,18,"November 1992",6,503,"answered 2nd interview",41.25,1,0
"roys","yes",1992-11-18,15,"November 1992",7,510,"answered 2nd interview",14.25,1,0
"roys","yes",1992-11-11,15,"November 1992",7,511,"answered 2nd interview",12.5,1,0
"roys","no",1992-11-11,16,"November 1992",6,514,"answered 2nd interview",34,1,0
"roys","yes",1992-11-16,14,"November 1992",8,516,"answered 2nd interview",10,1,0
"bk","no",1992-11-07,16,"November 1992",7,521,"answered 2nd interview",14,1,0
"bk","no",1992-11-07,16,"November 1992",7,522,"answered 2nd interview",17.5,1,0
"bk","no",1992-11-10,16,"November 1992",7,113,"answered 2nd interview",27,1,1
"bk","no",1992-11-10,14,"November 1992",7.5,123,"answered 2nd interview",21.5,1,1
"roys","no",1992-11-16,11.5,"November 1992",10,135,"answered 2nd interview",23,1,1
"roys","yes",1992-11-16,11.5,"November 1992",10,138,"answered 2nd interview",21.5,1,1
"bk","no",1992-11-10,17,"November 1992",7,153,"answered 2nd interview",34.5,1,1
"kfc","no",1992-11-11,11,"November 1992",10.5,181,"answered 2nd interview",10.5,1,1
"wendys","no",1992-11-17,12,"November 1992",10.5,191,"answered 2nd interview",16.5,1,1
"bk","no",1992-11-10,16,"November 1992",7,231,"answered 2nd interview",23,1,1
"bk","no",1992-11-17,18,"November 1992",7,236,"answered 2nd interview",38,1,1
"wendys","no",1992-11-14,15,"November 1992",7,254,"answered 2nd interview",36,1,1
"wendys","no",1992-11-13,14,"November 1992",7,255,"answered 2nd interview",16,1,1
"bk","no",1992-11-09,16,"November 1992",7,294,"answered 2nd interview",20.5,1,1
"roys","yes",1992-11-17,18,"November 1992",6,306,"answered 2nd interview",19,1,1
"wendys","no",1992-11-13,11.5,"November 1992",10.5,311,"answered 2nd interview",53,1,1
"bk","no",1992-11-09,16,"November 1992",7,315,"answered 2nd interview",16.5,1,1
"bk","yes",1992-11-18,17,"November 1992",6,335,"answered 2nd interview",16.5,1,1
"bk","yes",1992-11-17,18.5,"November 1992",6.5,372,"answered 2nd interview",45,1,1
"roys","yes",1992-11-17,8,"November 1992",10,6,"answered 2nd interview",8,1,1
"kfc","no",1992-11-05,11,"November 1992",11,14,"answered 2nd interview",15.5,1,1
"bk","no",1992-11-17,16,"November 1992",7,26,"answered 2nd interview",24,1,1
"kfc","yes",1992-11-12,10,"November 1992",11,27,"answered 2nd interview",7.5,1,1
"kfc","no",1992-11-12,10,"November 1992",11,30,"answered 2nd interview",7.5,1,1
"kfc","no",1992-11-14,12.5,"November 1992",10.5,31,"answered 2nd interview",18.5,1,1
"roys","no",1992-11-13,17,"November 1992",6,33,"answered 2nd interview",16.5,1,1
"wendys","no",1992-11-14,12.5,"November 1992",10.5,36,"answered 2nd interview",33.5,1,1
"roys","no",1992-11-19,19,"November 1992",6,77,"answered 2nd interview",37,1,1
"roys","yes",1992-11-13,16,"November 1992",7,78,"answered 2nd interview",18,1,1
"wendys","no",1992-12-15,11.5,"November 1992",10.5,81,"answered 2nd interview",26.5,1,1
"wendys","no",1992-11-14,13.5,"November 1992",10.5,82,"answered 2nd interview",33,1,1
"wendys","no",1992-11-17,14,"November 1992",10,83,"answered 2nd interview",NA,1,1
"bk","no",1992-11-16,12.5,"November 1992",9,85,"answered 2nd interview",20.5,1,1
"bk","yes",1992-11-10,16,"November 1992",7,89,"answered 2nd interview",24.5,1,1
"kfc","no",1992-11-12,10,"November 1992",11,94,"answered 2nd interview",16,1,1
"wendys","no",1992-11-14,12.5,"November 1992",10.5,103,"answered 2nd interview",NA,1,1
"wendys","no",1992-12-13,12.5,"November 1992",10.5,112,"answered 2nd interview",23.5,1,1
"kfc","yes",1992-11-14,11,"November 1992",11,128,"answered 2nd interview",13,1,1
"roys","no",1992-11-13,16,"November 1992",6,129,"answered 2nd interview",20,1,1
"roys","no",1992-12-16,15,"November 1992",7,131,"answered 2nd interview",22,1,1
"wendys","no",1992-11-14,12,"November 1992",11,139,"answered 2nd interview",28.5,1,1
"wendys","no",1992-12-16,NA,"November 1992",NA,143,"closed for highway construction",NA,1,1
"wendys","no",1992-11-17,12.5,"November 1992",10.5,144,"answered 2nd interview",25.5,1,1
"bk","no",1992-11-10,16,"November 1992",7,145,"answered 2nd interview",18,1,1
"bk","no",1992-11-18,14,"November 1992",7,147,"answered 2nd interview",9,1,1
"bk","no",1992-11-10,17,"November 1992",7,148,"answered 2nd interview",26.5,1,1
"bk","no",1992-12-30,NA,"November 1992",NA,151,"closed permanently",0,1,1
"bk","no",1992-11-10,15,"November 1992",7,152,"answered 2nd interview",23.75,1,1
"kfc","no",1992-11-17,11,"November 1992",10.5,157,"answered 2nd interview",18,1,1
"roys","yes",1992-11-19,17,"November 1992",6,161,"answered 2nd interview",36,1,1
"roys","yes",1992-11-12,15,"November 1992",7,163,"answered 2nd interview",21,1,1
"roys","yes",1992-11-12,17,"November 1992",6,164,"answered 2nd interview",15.5,1,1
"wendys","no",1992-11-17,12.5,"November 1992",10.5,165,"answered 2nd interview",22.5,1,1
"bk","yes",1992-11-16,16,"November 1992",7,169,"answered 2nd interview",27,1,1
"bk","yes",1992-11-10,16,"November 1992",7,170,"answered 2nd interview",34,1,1
"roys","no",1992-11-12,15,"November 1992",7,187,"answered 2nd interview",16.75,1,1
"roys","yes",1992-11-12,15,"November 1992",7,190,"answered 2nd interview",26,1,1
"wendys","yes",1992-11-13,12.5,"November 1992",10.5,196,"answered 2nd interview",18,1,1
"bk","no",1992-11-17,17,"November 1992",7,197,"answered 2nd interview",20.5,1,1
"bk","no",1992-11-18,16,"November 1992",7,234,"answered 2nd interview",15,1,1
"roys","yes",1992-11-16,17,"November 1992",6,240,"answered 2nd interview",25.5,1,1
"roys","no",1992-11-11,16,"November 1992",7,241,"answered 2nd interview",NA,1,1
"roys","yes",1992-11-11,16,"November 1992",7,242,"answered 2nd interview",20,1,1
"roys","no",1992-11-17,13,"November 1992",8.5,245,"answered 2nd interview",18,1,1
"bk","no",1992-11-09,14.5,"November 1992",7.5,259,"answered 2nd interview",26.5,1,1
"bk","yes",1992-11-09,15,"November 1992",7,268,"answered 2nd interview",23.25,1,1
"kfc","yes",1992-11-17,12,"November 1992",11,271,"answered 2nd interview",10.5,1,1
"kfc","yes",1992-11-14,12,"November 1992",11,272,"answered 2nd interview",12,1,1
"kfc","yes",1992-11-13,11,"November 1992",11,274,"answered 2nd interview",9.5,1,1
"kfc","yes",1992-11-13,12,"November 1992",11,276,"answered 2nd interview",15.5,1,1
"bk","yes",1992-11-18,16,"November 1992",7,296,"answered 2nd interview",14.5,1,1
"kfc","yes",1992-11-17,11.5,"November 1992",11,299,"answered 2nd interview",14,1,1
"kfc","yes",1992-11-14,10.5,"November 1992",11,301,"answered 2nd interview",6.5,1,1
"kfc","no",1992-11-13,11,"November 1992",11,320,"answered 2nd interview",10,1,1
"kfc","no",1992-11-14,12,"November 1992",11,321,"answered 2nd interview",11.5,1,1
"roys","no",1992-12-18,24,"November 1992",0,324,"answered 2nd interview",46.5,1,1
"roys","yes",1992-11-18,24,"November 1992",0,326,"answered 2nd interview",26.5,1,1
"wendys","no",1992-11-13,14.5,"November 1992",10.5,330,"answered 2nd interview",16,1,1
"bk","no",1992-11-09,12.5,"November 1992",9,334,"answered 2nd interview",13,1,1
"roys","yes",1992-11-11,15,"November 1992",7,349,"answered 2nd interview",14,1,1
"wendys","no",1992-11-13,10.5,"November 1992",10.5,354,"answered 2nd interview",15.5,1,1
"wendys","no",1992-11-14,11.5,"November 1992",10.5,356,"answered 2nd interview",18,1,1
"wendys","no",1992-11-13,12.5,"November 1992",10.5,357,"answered 2nd interview",27,1,1
"bk","no",1992-11-07,16,"November 1992",7,371,"answered 2nd interview",27,1,1
"bk","yes",1992-11-07,15.5,"November 1992",6.5,373,"answered 2nd interview",29.5,1,1
"bk","no",1992-11-16,15,"November 1992",7,375,"answered 2nd interview",16.5,1,1
"bk","yes",1992-11-07,19,"November 1992",6,378,"answered 2nd interview",31.5,1,1
"bk","no",1992-11-16,16.5,"November 1992",6.5,381,"answered 2nd interview",27.5,1,1
"roys","yes",1992-11-18,16,"November 1992",7,403,"answered 2nd interview",25.5,1,1
"wendys","yes",1992-11-13,12.5,"November 1992",10.5,406,"answered 2nd interview",32,1,1
"wendys","yes",1992-11-13,10.5,"November 1992",11,408,"answered 2nd interview",14.5,1,1
"bk","no",1992-11-17,15,"November 1992",7,409,"answered 2nd interview",10.5,1,1
"bk","no",1992-11-05,16,"November 1992",7,1,"answered 2nd interview",44,1,1
"bk","no",1992-11-05,15,"November 1992",7,2,"answered 2nd interview",15.5,1,1
"kfc","no",1992-11-17,11,"November 1992",11,3,"answered 2nd interview",10.5,1,1
"roys","no",1992-11-05,13.5,"November 1992",8,4,"answered 2nd interview",24,1,1
"roys","no",1992-11-18,17,"November 1992",6,5,"answered 2nd interview",29,1,1
"wendys","no",1992-11-05,13,"November 1992",10,8,"answered 2nd interview",30.5,1,1
"bk","no",1992-11-05,16,"November 1992",7,9,"answered 2nd interview",20,1,1
"bk","no",1992-11-05,16,"November 1992",7,10,"answered 2nd interview",26.5,1,1
"bk","no",1992-11-17,16,"November 1992",7,11,"answered 2nd interview",27,1,1
"bk","no",1992-11-18,16,"November 1992",7,12,"answered 2nd interview",26.5,1,1
"kfc","no",1992-11-17,11,"November 1992",11,13,"answered 2nd interview",10.5,1,1
"roys","no",1992-12-10,17,"November 1992",6,15,"answered 2nd interview",18,1,1
"roys","no",1992-11-05,17,"November 1992",6,16,"answered 2nd interview",18.5,1,1
"roys","no",1992-11-16,17,"November 1992",6,17,"answered 2nd interview",25.5,1,1
"roys","no",1992-11-05,17,"November 1992",6,18,"answered 2nd interview",32,1,1
"bk","no",1992-11-05,16,"November 1992",6,19,"answered 2nd interview",33,1,1
